"","Municipal","County","State","Region","Five Year Average","Total; Estimate; Population for whom poverty status is determined","Below poverty level; Estimate; Population for whom poverty status is determined","Percent below poverty level; Estimate; Population for whom poverty status is determined","Percent below poverty level; Margin of Error; Population for whom poverty status is determined"
"1443","Oakham","Worcester County","MA","Oakham","2008-2012",1787,90,"5","2.1"
"1444","Oxford","Worcester County","MA","Oxford","2008-2012",13508,688,"5.1","1.7"
"1445","Paxton","Worcester County","MA","Paxton","2008-2012",4284,192,"4.5","4.3"
"1446","Petersham","Worcester County","MA","Petersham","2008-2012",1171,90,"7.7","6.2"
"1447","Phillipston","Worcester County","MA","Phillipston","2008-2012",1929,71,"3.7","1.7"
"1448","Princeton","Worcester County","MA","Princeton","2008-2012",3423,149,"4.4","2.3"
"1449","Royalston","Worcester County","MA","Royalston","2008-2012",1049,100,"9.5","4.2"
"1450","Rutland","Worcester County","MA","Rutland","2008-2012",7939,369,"4.6","2.8"
"1451","Shrewsbury","Worcester County","MA","Shrewsbury","2008-2012",35477,1597,"4.5","1.6"
"1452","Southborough","Worcester County","MA","Southborough","2008-2012",9725,165,"1.7","1"
"1453","Southbridge","Worcester County","MA","Southbridge","2008-2012",16541,2662,"16.1","3.6"
"1454","Spencer","Worcester County","MA","Spencer","2008-2012",11697,914,"7.8","2.2"
"1455","Sterling","Worcester County","MA","Sterling","2008-2012",7739,171,"2.2","1.2"
"1456","Sturbridge","Worcester County","MA","Sturbridge","2008-2012",9107,819,"9","3.9"
"1457","Sutton","Worcester County","MA","Sutton","2008-2012",8963,229,"2.6","3.7"
"1458","Templeton","Worcester County","MA","Templeton","2008-2012",7722,999,"12.9","5.3"
"1459","Upton","Worcester County","MA","Upton","2008-2012",7461,365,"4.9","2"
"1460","Uxbridge","Worcester County","MA","Uxbridge","2008-2012",13335,799,"6","2.4"
"1461","Warren","Worcester County","MA","Warren","2008-2012",5096,442,"8.7","4.6"
"1462","Webster","Worcester County","MA","Webster","2008-2012",16354,2297,"14","2.9"
"1463","Westborough","Worcester County","MA","Westborough","2008-2012",17938,562,"3.1","1.8"
"1464","West Boylston","Worcester County","MA","West Boylston","2008-2012",5766,234,"4.1","1.9"
"1465","West Brookfield","Worcester County","MA","West Brookfield","2008-2012",3544,185,"5.2","3"
"1466","Westminster","Worcester County","MA","Westminster","2008-2012",7225,368,"5.1","3"
"1467","Winchendon","Worcester County","MA","Winchendon","2008-2012",10249,806,"7.9","3.2"
"1468","Worcester","Worcester County","MA","Worcester","2008-2012",170467,34302,"20.1","1.2"
