"","Municipal","County","State","Region","Five_Year_Range","Pop_25","Margin_Error_Pop","Grad_Pct","Margin_Error_Grad","HS_Pct","Margin_Error_HS","Bachelors_Pct","Margin_Error_Bach","Five_Year_Range"
"205","Carlisle","Middlesex County","MA","Carlisle","2006-2010",3125,"123",51.4,6.5,98.5,1.5,85.7,4.5,2010
"572","Carlisle","Middlesex County","MA","Carlisle","2007-2011",3166,"139",48.1,5.7,99,1.2,81.8,4.5,2011
"939","Carlisle","Middlesex County","MA","Carlisle","2008-2012",3561,"154",45.1,5,99.7,0.4,81.7,3.7,2012
"280","Carver","Plymouth County","MA","Carver","2006-2010",8065,"208",6.8,2.2,89.8,1.8,19.5,3,2010
"647","Carver","Plymouth County","MA","Carver","2007-2011",7897,"255",6.8,2.2,90.5,2.3,20.7,3.1,2011
"1014","Carver","Plymouth County","MA","Carver","2008-2012",7780,"235",7.2,2.1,91.7,2.1,22.3,3.6,2012
"128","Charlemont","Franklin County","MA","Charlemont","2006-2010",907,"94",8.2,3.4,88.6,4.2,27.3,6,2010
"495","Charlemont","Franklin County","MA","Charlemont","2007-2011",851,"102",8,3,88.7,4.2,30.6,5.3,2011
"862","Charlemont","Franklin County","MA","Charlemont","2008-2012",939,"86",11.2,3.4,88,3.9,32.6,5.3,2012
"317","Charlton","Worcester County","MA","Charlton","2006-2010",8271,"248",12.3,2.1,90.5,2.5,35.4,3.6,2010
"684","Charlton","Worcester County","MA","Charlton","2007-2011",8304,"282",13.4,2.8,90.4,2.4,35.2,3.6,2011
"1051","Charlton","Worcester County","MA","Charlton","2008-2012",8547,"258",10.9,2.2,91.8,2.1,33.4,3.3,2012
"20","Chatham","Barnstable County","MA","Chatham","2006-2010",5044,"264",19.4,2.9,95,1.6,50,4.8,2010
"387","Chatham","Barnstable County","MA","Chatham","2007-2011",4995,"176",20.2,3.3,97,1.5,52,4.5,2011
"754","Chatham","Barnstable County","MA","Chatham","2008-2012",4959,"165",18.8,3.4,96.9,1.4,48.4,4.6,2012
"206","Chelmsford","Middlesex County","MA","Chelmsford","2006-2010",23684,"391",22.9,1.8,94.4,0.9,49.3,2.2,2010
"573","Chelmsford","Middlesex County","MA","Chelmsford","2007-2011",23790,"444",22.9,1.8,95.1,1,49.6,2.1,2011
"940","Chelmsford","Middlesex County","MA","Chelmsford","2008-2012",24064,"427",22.4,1.7,95.9,0.9,48.8,2.2,2012
"305","Chelsea","Suffolk County","MA","Chelsea","2006-2010",21618,"722",5.5,1.6,65.6,3.7,13.6,2,2010
"672","Chelsea","Suffolk County","MA","Chelsea","2007-2011",22548,"738",5.7,1.3,65.3,3.1,14.5,1.9,2011
"1039","Chelsea","Suffolk County","MA","Chelsea","2008-2012",22369,"650",5.9,1.2,62.7,3,13.8,2,2012
"35","Cheshire","Berkshire County","MA","Cheshire","2006-2010",2421,"120",6.6,2.8,93,2.7,22.8,4.9,2010
"402","Cheshire","Berkshire County","MA","Cheshire","2007-2011",2436,"122",5.9,2.9,92.6,2.8,22.1,5.4,2011
"769","Cheshire","Berkshire County","MA","Cheshire","2008-2012",2405,"118",7.2,3.1,93,2.7,20.2,5,2012
"154","Chester","Hampden County","MA","Chester","2006-2010",971,"98",7.1,2.8,93.4,2.6,23,4.4,2010
"521","Chester","Hampden County","MA","Chester","2007-2011",980,"101",7.6,3,92.1,2.5,19.2,4.5,2011
"888","Chester","Hampden County","MA","Chester","2008-2012",1002,"122",7.6,2.9,92,2.8,18.3,4.8,2012
"176","Chesterfield","Hampshire County","MA","Chesterfield","2006-2010",793,"67",12.5,4.2,96.2,2.2,30.3,5.2,2010
"543","Chesterfield","Hampshire County","MA","Chesterfield","2007-2011",811,"60",12.6,4.3,94.8,2.4,31.9,5.1,2011
"910","Chesterfield","Hampshire County","MA","Chesterfield","2008-2012",860,"78",14.7,3.9,95.8,2.1,34.3,5.5,2012
"155","Chicopee","Hampden County","MA","Chicopee","2006-2010",37304,"754",4.6,0.7,80.4,1.5,16.5,1.2,2010
"522","Chicopee","Hampden County","MA","Chicopee","2007-2011",38135,"812",5,0.8,81.2,1.5,16.1,1.3,2011
"889","Chicopee","Hampden County","MA","Chicopee","2008-2012",38344,"639",5.1,0.8,82.3,1.5,17.2,1.5,2012
"85","Chilmark","Dukes County","MA","Chilmark","2006-2010",705,"149",28.7,6.4,98.6,1.3,63.1,8.5,2010
"452","Chilmark","Dukes County","MA","Chilmark","2007-2011",577,"129",19.8,7.3,98.6,1.4,63.4,9.3,2011
"819","Chilmark","Dukes County","MA","Chilmark","2008-2012",645,"148",15.5,4.9,98.4,1.3,56.1,11.4,2012
"36","Clarksburg","Berkshire County","MA","Clarksburg","2006-2010",1345,"71",5.4,1.7,84.7,4,17.9,3.8,2010
"403","Clarksburg","Berkshire County","MA","Clarksburg","2007-2011",1308,"80",5.5,1.8,87.2,3.7,18,3.9,2011
"770","Clarksburg","Berkshire County","MA","Clarksburg","2008-2012",1224,"75",5.5,1.8,88.1,3.7,20.5,3.2,2012
"318","Clinton","Worcester County","MA","Clinton","2006-2010",9396,"311",11.7,2.5,87.9,2.3,30.1,3.6,2010
"685","Clinton","Worcester County","MA","Clinton","2007-2011",9369,"354",11.3,2.3,86.5,2.6,32,3.6,2011
"1052","Clinton","Worcester County","MA","Clinton","2008-2012",9274,"357",10.8,1.9,87.2,2.9,32,3.3,2012
"254","Cohasset","Norfolk County","MA","Cohasset","2006-2010",4897,"179",30.9,5.4,98.4,1,65,4.8,2010
"621","Cohasset","Norfolk County","MA","Cohasset","2007-2011",4899,"213",30.9,5.1,98.7,0.8,67.7,4.7,2011
"988","Cohasset","Norfolk County","MA","Cohasset","2008-2012",5099,"213",28.2,4.7,97.7,1.3,68,4.9,2012
