"Municipal","State","C_year","Industry.Title","Average.Monthly.Employment","Average.Weekly.Wage","Number.of.Employer.Establishments.in.the.Industry..reporting.units.","Total.Wages.Paid.to.All.Workers.in.the.Industry"
"Westborough","MA",2001,"Total, All Industries",24549,1005,886,1283493769
"Westfield","MA",2001,"Total, All Industries",16290,618,952,523141244
"Westford","MA",2001,"Total, All Industries",12333,1167,624,748536646
"Westhampton","MA",2001,"Total, All Industries",253,558,26,7334673
"Westminster","MA",2001,"Total, All Industries",3266,933,148,158406240
"Weston","MA",2001,"Total, All Industries",3503,812,423,147841149
"Westport","MA",2001,"Total, All Industries",3075,508,413,81162941
"Westwood","MA",2001,"Total, All Industries",9273,1105,500,532714046
"Weymouth","MA",2001,"Total, All Industries",16991,659,1275,581856611
"Whately","MA",2001,"Total, All Industries",2052,593,48,63257011
"Whitman","MA",2001,"Total, All Industries",3140,555,253,90631360
"Wilbraham","MA",2001,"Total, All Industries",3975,628,333,129802942
"Williamsburg","MA",2001,"Total, All Industries",566,438,90,12877111
"Williamstown","MA",2001,"Total, All Industries",4217,610,254,133748560
"Wilmington","MA",2001,"Total, All Industries",22430,1057,769,1232315097
"Winchendon","MA",2001,"Total, All Industries",1840,507,170,48517453
"Winchester","MA",2001,"Total, All Industries",7850,728,647,296972806
"Windsor","MA",2001,"Total, All Industries",74,631,17,2419507
"Winthrop","MA",2001,"Total, All Industries",2309,524,275,62924711
"Woburn","MA",2001,"Total, All Industries",40032,899,1977,1871562736
"Worcester","MA",2001,"Total, All Industries",100977,725,4331,3808105623
"Worthington","MA",2001,"Total, All Industries",204,484,29,5124056
"Wrentham","MA",2001,"Total, All Industries",5246,594,389,162089785
"Yarmouth","MA",2001,"Total, All Industries",8877,597,722,275776041
"Abington","MA",2002,"Total, All Industries",4166,584,320,126590586
"Acton","MA",2002,"Total, All Industries",9775,893,813,454013974
"Acushnet","MA",2002,"Total, All Industries",2255,652,179,76492249
"Adams","MA",2002,"Total, All Industries",2131,585,197,64876580
"Agawam","MA",2002,"Total, All Industries",11518,591,744,354108239
"Alford","MA",2002,"Total, All Industries",38,522,10,1031584
"Amesbury","MA",2002,"Total, All Industries",4652,672,392,162610964
"Amherst","MA",2002,"Total, All Industries",12585,794,725,519440909
"Andover","MA",2002,"Total, All Industries",32846,1061,1094,1812276962
"Aquinnah","MA",2002,"Total, All Industries",73,536,11,2040949
"Arlington","MA",2002,"Total, All Industries",8334,724,945,313765164
"Ashburnham","MA",2002,"Total, All Industries",1088,604,114,34160720
"Ashby","MA",2002,"Total, All Industries",259,556,59,7484496
"Ashfield","MA",2002,"Total, All Industries",248,382,44,4925444
"Ashland","MA",2002,"Total, All Industries",4543,673,412,158967349
"Athol","MA",2002,"Total, All Industries",3595,528,249,98768428
"Attleboro","MA",2002,"Total, All Industries",20418,636,1040,675406199
"Auburn","MA",2002,"Total, All Industries",10807,622,591,349591102
"Avon","MA",2002,"Total, All Industries",6292,845,259,276607613
"Ayer","MA",2002,"Total, All Industries",6393,792,309,263123279
"Barnstable","MA",2002,"Total, All Industries",28213,667,2231,978717355
"Barre","MA",2002,"Total, All Industries",1183,617,111,37963652
"Becket","MA",2002,"Total, All Industries",350,442,35,8039853
"Bedford","MA",2002,"Total, All Industries",20250,1226,659,1290877210
"Belchertown","MA",2002,"Total, All Industries",2104,493,246,53953111
"Bellingham","MA",2002,"Total, All Industries",5038,509,404,133441970
"Belmont","MA",2002,"Total, All Industries",6482,694,659,233807530
"Berkley","MA",2002,"Total, All Industries",562,548,92,16013464
"Berlin","MA",2002,"Total, All Industries",659,526,104,18015086
"Bernardston","MA",2002,"Total, All Industries",418,417,61,9056133
"Beverly","MA",2002,"Total, All Industries",19412,829,1253,836965504
"Billerica","MA",2002,"Total, All Industries",23695,1071,1144,1319255050
"Blackstone","MA",2002,"Total, All Industries",1192,769,150,47681471
"Blandford","MA",2002,"Total, All Industries",212,260,22,2867452
"Bolton","MA",2002,"Total, All Industries",1990,760,121,78593079
"Boston","MA",2002,"Total, All Industries",558693,1142,19803,33186379555
"Bourne","MA",2002,"Total, All Industries",6961,617,680,223464740
"Boxborough","MA",2002,"Total, All Industries",1861,1172,166,113443598
"Boxford","MA",2002,"Total, All Industries",974,632,170,31979297
"Boylston","MA",2002,"Total, All Industries",1480,679,120,52285311
"Braintree","MA",2002,"Total, All Industries",29465,754,1548,1154630983
"Brewster","MA",2002,"Total, All Industries",2571,515,268,68844448
"Bridgewater","MA",2002,"Total, All Industries",7345,708,489,270311159
"Brimfield","MA",2002,"Total, All Industries",501,590,77,15381649
"Brockton","MA",2002,"Total, All Industries",38182,691,2131,1371507827
"Brookfield","MA",2002,"Total, All Industries",523,481,66,13093911
"Brookline","MA",2002,"Total, All Industries",14845,679,1609,523909417
"Buckland","MA",2002,"Total, All Industries",503,517,38,13511933
"Burlington","MA",2002,"Total, All Industries",35894,1191,1514,2222630659
"Cambridge","MA",2002,"Total, All Industries",105662,1095,3969,6015985137
"Canton","MA",2002,"Total, All Industries",20469,988,972,1052115694
"Carlisle","MA",2002,"Total, All Industries",831,860,136,37156895
"Carver","MA",2002,"Total, All Industries",2592,555,230,74839143
"Charlemont","MA",2002,"Total, All Industries",325,289,42,4872692
"Charlton","MA",2002,"Total, All Industries",2962,657,273,101109024
"Chatham","MA",2002,"Total, All Industries",3061,567,400,90307328
"Chelmsford","MA",2002,"Total, All Industries",22210,1095,1094,1264505943
"Chelsea","MA",2002,"Total, All Industries",13665,729,765,518140981
"Cheshire","MA",2002,"Total, All Industries",307,544,50,8688084
"Chester","MA",2002,"Total, All Industries",128,429,28,2862084
"Chesterfield","MA",2002,"Total, All Industries",124,463,19,2993393
"Chicopee","MA",2002,"Total, All Industries",20226,644,1114,677771997
"Chilmark","MA",2002,"Total, All Industries",300,577,59,8994234
"Clarksburg","MA",2002,"Total, All Industries",229,525,25,6246666
"Clinton","MA",2002,"Total, All Industries",4693,779,333,190182788
"Cohasset","MA",2002,"Total, All Industries",2469,687,286,88255093
"Colrain","MA",2002,"Total, All Industries",253,570,42,7489122
"Concord","MA",2002,"Total, All Industries",12505,990,936,643762829
"Conway","MA",2002,"Total, All Industries",184,438,39,4199773
