"Municipal","State","Year","Average_Monthly_Employment","Average_Weekly_Wage","Number_of_Employer_Establishments","Total_Wages_Paid_to_All_Workers","Inflation_Adjusted_Average_Weekly_Wage","Change","Employment_Change_Pct","Establishment_Change","Establishment_Change_Pct","Average_Weekly_Wage_Change","Average_Weekly_Wage_Change_Pct"
"Stoneham","MA",2006,7846,841,633,342948256,958,0.915092139024959,91.5092139024959,1.0259319286872,102.59319286872,1.00524658971668,100.524658971668
"Stoneham","MA",2007,7771,866,658,349935178,959,0.906344763237695,90.6344763237695,1.06645056726094,106.645056726094,1.00629590766002,100.629590766002
"Stoneham","MA",2008,7804,879,671,356778325,937,0.910193608584091,91.0193608584091,1.08752025931929,108.752025931929,0.983210912906611,98.3210912906611
"Stoneham","MA",2009,7459,868,667,336497941,929,0.869955679962678,86.9955679962678,1.08103727714749,108.103727714749,0.974816369359916,97.4816369359916
"Stoneham","MA",2010,7015,886,686,323233189,933,0.818171215302076,81.8171215302076,1.11183144246353,111.183144246353,0.979013641133263,97.9013641133263
"Stoneham","MA",2011,7031,909,703,332500442,928,0.820037322136692,82.0037322136692,1.13938411669368,113.938411669368,0.973767051416579,97.3767051416579
"Stoneham","MA",2012,6997,905,674,329286153,905,0.816071845113133,81.6071845113133,1.09238249594814,109.238249594814,0.949632738719832,94.9632738719832
"Stoughton","MA",2001,12490,732,920,475219156,949,1,100,1,100,1,100
"Stoughton","MA",2002,12622,744,953,488499650,950,1.01056845476381,101.056845476381,1.03586956521739,103.586956521739,1.00105374077977,100.105374077977
"Stoughton","MA",2003,12298,764,966,488693618,953,0.984627702161729,98.4627702161729,1.05,105,1.00421496311907,100.421496311907
"Stoughton","MA",2004,12054,797,1000,499454075,969,0.965092073658927,96.5092073658927,1.08695652173913,108.695652173913,1.02107481559536,102.107481559536
"Stoughton","MA",2005,12135,816,1002,515046638,959,0.971577261809448,97.1577261809448,1.08913043478261,108.913043478261,1.01053740779768,101.053740779768
"Stoughton","MA",2006,12826,847,1005,564658472,965,1.02690152121697,102.690152121697,1.09239130434783,109.239130434783,1.01685985247629,101.685985247629
"Stoughton","MA",2007,13628,937,993,663852189,1038,1.09111289031225,109.111289031225,1.07934782608696,107.934782608696,1.09378292939937,109.378292939937
"Stoughton","MA",2008,13081,941,980,640218151,1003,1.04731785428343,104.731785428343,1.06521739130435,106.521739130435,1.05690200210748,105.690200210748
"Stoughton","MA",2009,12773,938,980,623271985,1004,1.0226581265012,102.26581265012,1.06521739130435,106.521739130435,1.05795574288725,105.795574288725
"Stoughton","MA",2010,12667,941,1017,619529044,991,1.01417133706966,101.417133706966,1.1054347826087,110.54347826087,1.04425711275026,104.425711275026
"Stoughton","MA",2011,12724,973,1019,644072557,993,1.01873498799039,101.873498799039,1.10760869565217,110.760869565217,1.0463645943098,104.63645943098
"Stoughton","MA",2012,13025,943,1013,638819979,943,1.04283426741393,104.283426741393,1.10108695652174,110.108695652174,0.993677555321391,99.3677555321391
"Stow","MA",2001,2146,1196,202,133451576,1551,1,100,1,100,1,100
"Stow","MA",2002,2037,1124,195,119099353,1434,0.949207828518173,94.9207828518173,0.965346534653465,96.5346534653465,0.924564796905222,92.4564796905222
"Stow","MA",2003,1510,680,192,53367996,848,0.703634669151911,70.3634669151911,0.95049504950495,95.049504950495,0.546744036105738,54.6744036105738
"Stow","MA",2004,1534,725,209,57871915,881,0.714818266542404,71.4818266542405,1.03465346534653,103.465346534653,0.568020631850419,56.8020631850419
"Stow","MA",2005,1636,751,203,63866131,883,0.762348555452004,76.2348555452004,1.0049504950495,100.495049504951,0.569310122501612,56.9310122501612
"Stow","MA",2006,2263,1025,184,120560495,1167,1.05452003727866,105.452003727866,0.910891089108911,91.0891089108911,0.752417794970986,75.2417794970986
"Stow","MA",2007,2336,1026,183,124629079,1136,1.08853681267474,108.853681267474,0.905940594059406,90.5940594059406,0.732430689877498,73.2430689877498
"Stow","MA",2008,2070,1075,186,115749224,1146,0.964585274930102,96.4585274930103,0.920792079207921,92.0792079207921,0.738878143133462,73.8878143133462
"Stow","MA",2009,1838,1041,182,99465605,1114,0.856477166821994,85.6477166821994,0.900990099009901,90.0990099009901,0.718246292714378,71.8246292714378
"Stow","MA",2010,1890,1058,200,104011970,1114,0.880708294501398,88.0708294501398,0.99009900990099,99.009900990099,0.718246292714378,71.8246292714378
