"","Municipal","State","Year","Region","Industry_Title","Average_Monthly_Employment"
"254","Salem","MA",2001,"Salem","Total, All Industries",18579
"255","Salisbury","MA",2001,"Salisbury","Total, All Industries",2722
"256","Sandisfield","MA",2001,"Sandisfield","Total, All Industries",207
"257","Sandwich","MA",2001,"Sandwich","Total, All Industries",5049
"258","Saugus","MA",2001,"Saugus","Total, All Industries",11040
"259","Savoy","MA",2001,"Savoy","Total, All Industries",65
"260","Scituate","MA",2001,"Scituate","Total, All Industries",3117
"261","Seekonk","MA",2001,"Seekonk","Total, All Industries",8215
"262","Sharon","MA",2001,"Sharon","Total, All Industries",4049
"263","Sheffield","MA",2001,"Sheffield","Total, All Industries",1296
"264","Shelburne","MA",2001,"Shelburne","Total, All Industries",773
"265","Sherborn","MA",2001,"Sherborn","Total, All Industries",546
"266","Shirley","MA",2001,"Shirley","Total, All Industries",2171
"267","Shrewsbury","MA",2001,"Shrewsbury","Total, All Industries",13423
"268","Shutesbury","MA",2001,"Shutesbury","Total, All Industries",143
"269","Somerset","MA",2001,"Somerset","Total, All Industries",4143
"270","Somerville","MA",2001,"Somerville","Total, All Industries",22948
"271","South Hadley","MA",2001,"South Hadley","Total, All Industries",4897
"272","Southampton","MA",2001,"Southampton","Total, All Industries",1061
"273","Southborough","MA",2001,"Southborough","Total, All Industries",6018
"274","Southbridge","MA",2001,"Southbridge","Total, All Industries",6177
"275","Southwick","MA",2001,"Southwick","Total, All Industries",2593
"276","Spencer","MA",2001,"Spencer","Total, All Industries",3555
"277","Springfield","MA",2001,"Springfield","Total, All Industries",79927
"278","Sterling","MA",2001,"Sterling","Total, All Industries",2163
"279","Stockbridge","MA",2001,"Stockbridge","Total, All Industries",1487
"280","Stoneham","MA",2001,"Stoneham","Total, All Industries",8574
"281","Stoughton","MA",2001,"Stoughton","Total, All Industries",12490
"282","Stow","MA",2001,"Stow","Total, All Industries",2146
"283","Sturbridge","MA",2001,"Sturbridge","Total, All Industries",5307
"284","Sudbury","MA",2001,"Sudbury","Total, All Industries",7195
"285","Sunderland","MA",2001,"Sunderland","Total, All Industries",599
"286","Sutton","MA",2001,"Sutton","Total, All Industries",1529
"287","Swampscott","MA",2001,"Swampscott","Total, All Industries",3351
"288","Swansea","MA",2001,"Swansea","Total, All Industries",5611
"289","Taunton","MA",2001,"Taunton","Total, All Industries",24018
"290","Templeton","MA",2001,"Templeton","Total, All Industries",1667
"291","Tewksbury","MA",2001,"Tewksbury","Total, All Industries",16108
"292","Tisbury","MA",2001,"Tisbury","Total, All Industries",2330
"293","Tolland","MA",2001,"Tolland","Total, All Industries",48
"294","Topsfield","MA",2001,"Topsfield","Total, All Industries",2449
"295","Townsend","MA",2001,"Townsend","Total, All Industries",2229
"296","Truro","MA",2001,"Truro","Total, All Industries",505
"297","Tyngsborough","MA",2001,"Tyngsborough","Total, All Industries",4081
"298","Tyringham","MA",2001,"Tyringham","Total, All Industries",30
"299","Upton","MA",2001,"Upton","Total, All Industries",1031
"300","Uxbridge","MA",2001,"Uxbridge","Total, All Industries",2861
"301","Wakefield","MA",2001,"Wakefield","Total, All Industries",14920
"302","Wales","MA",2001,"Wales","Total, All Industries",124
"303","Walpole","MA",2001,"Walpole","Total, All Industries",9677
"304","Waltham","MA",2001,"Waltham","Total, All Industries",60780
"305","Ware","MA",2001,"Ware","Total, All Industries",2691
"306","Wareham","MA",2001,"Wareham","Total, All Industries",6794
"307","Warren","MA",2001,"Warren","Total, All Industries",1209
"308","Warwick","MA",2001,"Warwick","Total, All Industries",112
"309","Washington","MA",2001,"Washington","Total, All Industries",145
"310","Watertown","MA",2001,"Watertown","Total, All Industries",20381
"311","Wayland","MA",2001,"Wayland","Total, All Industries",4030
"312","Webster","MA",2001,"Webster","Total, All Industries",6629
"313","Wellesley","MA",2001,"Wellesley","Total, All Industries",19678
"314","Wellfleet","MA",2001,"Wellfleet","Total, All Industries",952
"315","Wendell","MA",2001,"Wendell","Total, All Industries",228
"316","Wenham","MA",2001,"Wenham","Total, All Industries",1294
"317","West Boylston","MA",2001,"West Boylston","Total, All Industries",3531
"318","West Bridgewater","MA",2001,"West Bridgewater","Total, All Industries",6775
"319","West Brookfield","MA",2001,"West Brookfield","Total, All Industries",933
"320","West Newbury","MA",2001,"West Newbury","Total, All Industries",701
"321","West Springfield","MA",2001,"West Springfield","Total, All Industries",18085
"322","West Stockbridge","MA",2001,"West Stockbridge","Total, All Industries",262
"323","West Tisbury","MA",2001,"West Tisbury","Total, All Industries",627
"324","Westborough","MA",2001,"Westborough","Total, All Industries",24549
"325","Westfield","MA",2001,"Westfield","Total, All Industries",16290
"326","Westford","MA",2001,"Westford","Total, All Industries",12333
"327","Westhampton","MA",2001,"Westhampton","Total, All Industries",253
"328","Westminster","MA",2001,"Westminster","Total, All Industries",3266
"329","Weston","MA",2001,"Weston","Total, All Industries",3503
"330","Westport","MA",2001,"Westport","Total, All Industries",3075
"331","Westwood","MA",2001,"Westwood","Total, All Industries",9273
"332","Weymouth","MA",2001,"Weymouth","Total, All Industries",16991
"333","Whately","MA",2001,"Whately","Total, All Industries",2052
"334","Whitman","MA",2001,"Whitman","Total, All Industries",3140
"335","Wilbraham","MA",2001,"Wilbraham","Total, All Industries",3975
"336","Williamsburg","MA",2001,"Williamsburg","Total, All Industries",566
"337","Williamstown","MA",2001,"Williamstown","Total, All Industries",4217
"338","Wilmington","MA",2001,"Wilmington","Total, All Industries",22430
"339","Winchendon","MA",2001,"Winchendon","Total, All Industries",1840
"340","Winchester","MA",2001,"Winchester","Total, All Industries",7850
"341","Windsor","MA",2001,"Windsor","Total, All Industries",74
"342","Winthrop","MA",2001,"Winthrop","Total, All Industries",2309
"343","Woburn","MA",2001,"Woburn","Total, All Industries",40032
"344","Worcester","MA",2001,"Worcester","Total, All Industries",100977
"345","Worthington","MA",2001,"Worthington","Total, All Industries",204
"346","Wrentham","MA",2001,"Wrentham","Total, All Industries",5246
"347","Yarmouth","MA",2001,"Yarmouth","Total, All Industries",8877
"348","Abington","MA",2002,"Abington","Total, All Industries",4166
"349","Acton","MA",2002,"Acton","Total, All Industries",9775
"350","Acushnet","MA",2002,"Acushnet","Total, All Industries",2255
"351","Adams","MA",2002,"Adams","Total, All Industries",2131
"352","Agawam","MA",2002,"Agawam","Total, All Industries",11518
"353","Alford","MA",2002,"Alford","Total, All Industries",38
"354","Amesbury","MA",2002,"Amesbury","Total, All Industries",4652
"355","Amherst","MA",2002,"Amherst","Total, All Industries",12585
"356","Andover","MA",2002,"Andover","Total, All Industries",32846
"357","Aquinnah","MA",2002,"Aquinnah","Total, All Industries",73
"358","Arlington","MA",2002,"Arlington","Total, All Industries",8334
"359","Ashburnham","MA",2002,"Ashburnham","Total, All Industries",1088
"360","Ashby","MA",2002,"Ashby","Total, All Industries",259
"361","Ashfield","MA",2002,"Ashfield","Total, All Industries",248
"362","Ashland","MA",2002,"Ashland","Total, All Industries",4543
"363","Athol","MA",2002,"Athol","Total, All Industries",3595
"364","Attleboro","MA",2002,"Attleborough","Total, All Industries",20418
"365","Auburn","MA",2002,"Auburn","Total, All Industries",10807
"366","Avon","MA",2002,"Avon","Total, All Industries",6292
"367","Ayer","MA",2002,"Ayer","Total, All Industries",6393
"368","Barnstable","MA",2002,"Barnstable","Total, All Industries",28213
"369","Barre","MA",2002,"Barre","Total, All Industries",1183
"370","Becket","MA",2002,"Becket","Total, All Industries",350
"371","Bedford","MA",2002,"Bedford","Total, All Industries",20250
"372","Belchertown","MA",2002,"Belchertown","Total, All Industries",2104
"373","Bellingham","MA",2002,"Bellingham","Total, All Industries",5038
"374","Belmont","MA",2002,"Belmont","Total, All Industries",6482
"375","Berkley","MA",2002,"Berkley","Total, All Industries",562
"376","Berlin","MA",2002,"Berlin","Total, All Industries",659
"377","Bernardston","MA",2002,"Bernardston","Total, All Industries",418
"378","Beverly","MA",2002,"Beverly","Total, All Industries",19412
"379","Billerica","MA",2002,"Billerica","Total, All Industries",23695
"380","Blackstone","MA",2002,"Blackstone","Total, All Industries",1192
"381","Blandford","MA",2002,"Blandford","Total, All Industries",212
"382","Bolton","MA",2002,"Bolton","Total, All Industries",1990
"383","Boston","MA",2002,"Boston","Total, All Industries",558693
"384","Bourne","MA",2002,"Bourne","Total, All Industries",6961
"385","Boxborough","MA",2002,"Boxborough","Total, All Industries",1861
"386","Boxford","MA",2002,"Boxford","Total, All Industries",974
"387","Boylston","MA",2002,"Boylston","Total, All Industries",1480
