"","Org.Name","Org.Code","Address.1","Address.2","Town","Zip","query","lon","lat","loc"
"1060","Monson: Quarry Hill Community School","01910025","43 Margaret Street","","Monson","01057","43 Margaret Street, , Monson, 01057, Massachusetts",-72.3241502,42.1133776,"-72.3241502 42.1133776"
"1061","Montachusett Regional Vocational Technical: Montachusett Regional Vocational Technical","08320605","1050 Westminster Street","","Fitchburg","01420","1050 Westminster Street, , Fitchburg, 01420, Massachusetts",-71.8547253,42.5603607,"-71.8547253 42.5603607"
"1062","Mount Greylock: Mt Greylock Regional High","07150505","1781 Cold Spring Road","","Williamstown","01267","1781 Cold Spring Road, , Williamstown, 01267, Massachusetts",-73.2414418,42.6714702,"-73.2414418 42.6714702"
"1063","Mystic Valley Regional Charter (District): Mystic Valley Regional Charter School","04700105","770 Salem Street","","Malden","02148","770 Salem Street, , Malden, 02148, Massachusetts",-71.0442663,42.4345922,"-71.0442663 42.4345922"
"1064","Nahant: Johnson","01960010","290 Castle Road","","Nahant","01908","290 Castle Road, , Nahant, 01908, Massachusetts",-70.933483,42.4212141,"-70.933483 42.4212141"
"1065","Nantucket: Cyrus Peirce","01970010","10 Surfside Road","","Nantucket","02554","10 Surfside Road, , Nantucket, 02554, Massachusetts",-70.098742,41.273202,"-70.098742 41.273202"
"1066","Nantucket: Nantucket Elementary","01970005","30 Surfside Road","","Nantucket","02554","30 Surfside Road, , Nantucket, 02554, Massachusetts",-70.0985438,41.2694993,"-70.0985438 41.2694993"
"1067","Nantucket: Nantucket High","01970505","10 Surfside Road","","Nantucket","02554","10 Surfside Road, , Nantucket, 02554, Massachusetts",-70.098742,41.273202,"-70.098742 41.273202"
"1068","Narragansett: Baldwinville Elementary","07200005","16 School Street","","Baldwinville","01436","16 School Street, , Baldwinville, 01436, Massachusetts",-72.0750741,42.6050395,"-72.0750741 42.6050395"
"1069","Narragansett: Narragansett Middle","07200305","460 Baldwinville Rd","","Baldwinville","01436","460 Baldwinville Rd, , Baldwinville, 01436, Massachusetts",-72.073302,42.5876764,"-72.073302 42.5876764"
"1070","Narragansett: Narragansett Regional High","07200505","464 Baldwinville Rd","","Baldwinville","01436","464 Baldwinville Rd, , Baldwinville, 01436, Massachusetts",-72.0730491,42.5880979,"-72.0730491 42.5880979"
"1071","Narragansett: Phillipston Memorial","07200003","20 The Common","","Phillipston","01331","20 The Common, , Phillipston, 01331, Massachusetts",-72.1365962,42.5486475,"-72.1365962 42.5486475"
"1072","Narragansett: Templeton Center","07200020","P O Box 306","","Templeton","01468","P O Box 306, , Templeton, 01468, Massachusetts",-72.0823688,42.5507966,"-72.0823688 42.5507966"
"1073","Nashoba: Center School","07250020","403 Great Rd","","Stow","01775","403 Great Rd, , Stow, 01775, Massachusetts",-71.5080061,42.4377062,"-71.5080061 42.4377062"
