"","school","org.code","lon","lat"
"273","TechBoston Academy School Boston MA","00350657",-71.097876,42.32102
"274","The English High School Boston MA","00350535",-71.057475,42.353366
"275","Thomas J Kenny School Boston MA","00350328",-71.053326,42.294143
"276","Urban Science Academy School Boston MA","00350579",-71.097876,42.32102
"277","Warren-Prescott School Boston MA","00350346",-71.096248,42.312491
"278","Washington Irving Middle School Boston MA","00350445",-73.143473,42.366009
"279","West Roxbury Academy School Boston MA","00350658",-71.0851,42.328899
"280","William E Russell School Boston MA","00350366",-71.065987,42.361188
"281","William Ellery Channing School Boston MA","00350360",-71.803643,42.577715
"282","William H Ohrenberger School Boston MA","00350258",-71.803643,42.577715
"283","William McKinley School Boston MA","00350363",-71.05318,42.358846
"284","William Monroe Trotter School Boston MA","00350370",-71.050879,42.293085
"285","Winship Elementary School Boston MA","00350374",-71.077064,42.297762
"286","Wm B Rogers Middle School Boston MA","00350470",-71.055956,42.330147
"287","Young Achievers School Boston MA","00350380",-71.096248,42.312491
"288","Bourne High School School Bourne MA","00360505",-70.497024,41.755987
"289","Bourne Middle School School Bourne MA","00360325",-70.497024,41.755987
"290","Bournedale Elementary School School Bourne MA","00360005",-70.558781,41.774684
"291","Peebles Elementary School School Bourne MA","00360010",-70.497024,41.755987
"292","Blanchard Memorial School Boxborough MA","00370005",-71.51779,42.48838
"293","Harry Lee Cole School Boxford MA","00380005",-73.251477,42.309219
"294","Spofford Pond School Boxford MA","00380013",-73.25359,42.449408
"295","Boylston Elementary School Boylston MA","00390005",-71.720517,42.324638
"296","Archie T Morrison School Braintree MA","00400033",-70.9958,42.22221
"297","Braintree High School Braintree MA","00400505",-71.027529,42.226095
"298","Donald Ross School Braintree MA","00400050",-71.01344,42.200489
"299","East Middle School School Braintree MA","00400305",-71.00468,42.22289
"300","Highlands School Braintree MA","00400015",-71.0091,42.21977
"301","Hollis School Braintree MA","00400005",-71.003109,42.217842
"302","Liberty School Braintree MA","00400025",-70.97778,42.22049
"303","Mary E Flaherty School School Braintree MA","00400020",-71.00468,42.22289
"304","South Middle School School Braintree MA","00400310",-70.910764,41.892981
"305","Eddy Elementary School Brewster MA","00410010",-70.262496,41.654101
"306","Stony Brook Elementary School Brewster MA","00410005",-70.125993,41.74453
"307","Bridge Boston Charter School School Boston MA","04170205",-71.05286,42.365828
"308","Bridgewater Middle School School Bridgewater MA","06250320",-70.982591,41.941502
"309","Bridgewater-Raynham Regional School Bridgewater MA","06250505",-70.982591,41.941502
"310","Laliberte Elementary School School Raynham MA","06250050",-70.764541,41.703848
"311","Merrill Elementary School School Raynham MA","06250020",-71.060862,41.945321
"312","Mitchell Elementary School School Bridgewater MA","06250002",-70.976384,41.988712
"313","Raynham Middle School School Raynham MA","06250315",-71.128633,41.688295
"314","Williams Intermediate School School Bridgewater MA","06250300",-70.976384,41.988712
"315","Brimfield Elementary School Brimfield MA","00430005",-72.17759,42.088201
"316","Bristol County Agricultural High School Dighton MA","09100705",-71.12032,41.81399
"317","Bristol-Plymouth Vocational Technical School Taunton MA","08100605",-71.091873,41.902744
"318","Ashfield Middle School School Brockton MA","00440421",-72.803782,42.539422
"319","B B Russell Alternative School School Brockton MA","00440080",-71.026175,42.60758
"320","Brockton Champion High School School Brockton MA","00440515",-71.026175,42.60758
"321","Brockton High School Brockton MA","00440505",-71.026175,42.60758
"322","Brookfield School Brockton MA","00440010",-72.117643,42.220451
"323","Downey School Brockton MA","00440110",-71.026175,42.60758
"324","Dr W Arnone Community School School Brockton MA","00440001",-71.026175,42.60758
"325","East Middle School School Brockton MA","00440405",-71.026175,42.60758
"326","Edgar B Davis School Brockton MA","00440023",-71.026175,42.60758
"327","Edison Academy School Brockton MA","00440520",-71.026175,42.60758
"328","Gilmore School Early Childhood Center School Brockton MA","00440050",-71.026175,42.60758
"329","Goddard Alternative School School Brockton MA","00440400",-71.026175,42.60758
"330","Hancock School Brockton MA","00440045",-71.026175,42.60758
"331","Huntington School Brockton MA","00440055",-72.8598,42.219038
"332","John F Kennedy School Brockton MA","00440017",-71.026175,42.60758
"333","Joseph F. Plouffe Academy School Brockton MA","00440422",-71.026175,42.60758
"334","Louis F Angelo Elementary School Brockton MA","00440065",-71.026175,42.60758
"335","Manthala George Jr. School School Brockton MA","00440003",-71.026175,42.60758
