"","Region","Year","Number_of_Months_Reported","Single_Family_Buildings","Single_Family_Units","Single_Family_Valuation","I2_Family_Buildings","I2_Family_Units","I2_Family_Valuation","I3-4_Family_Buildings","I3-4_Family_Units","I3-4_Family_Valuation","I5_Family_Buildings","I5_Family_Units","I5_Family_Valuation","Total_Buildings","Total_Units","Total_Valuation","Average_Valuation_PerUnits","Total_Pct_Change","Change_from_previous","Pct_Change_from_previous","Percentage_of_1_Family","Percentage_of_2_Family","Percentage_of_3_and_4_Family","Percentage_of_5_Family","Inflation_Adjusted_1_Family_Valuation","Inflation_Adjusted_2_Family_Valuation","Inflation_Adjusted_3_4_Family_Valuation","Inflation_Adjusted_5_Family_Valuation","Inflation_Adjusted_Total_Valuation","Inflation_Adjusted_Average_Valuation","Permits_Per_1000_Population"
"47","Acushnet",2010,12,7,7,1732741,0,0,0,0,0,0,0,0,0,7,7,1732741,247534.428571429,-83.72,0.4,40,100,0,0,0,1947799.98679238,0,0,0,1947799.98679238,278257.140970341,0.026341239468208
"48","Acushnet",2011,12,5,5,1219624,0,0,0,0,0,0,0,0,0,5,5,1219624,243924.8,-88.37,-0.285714285714286,-28.57,100,0,0,0,1329045.80744113,0,0,0,1329045.80744113,265809.161488226,0.0187952966649626
"49","Acushnet",2012,12,10,10,2170627,0,0,0,0,0,0,0,0,0,10,10,2170627,217062.7,-76.7441860465116,1,100,100,0,0,0,2317412.86897741,0,0,0,2317412.86897741,231741.286897741,0.0373856932429098
"50","Acushnet",2013,12,19,19,4149000,0,0,0,0,0,0,0,0,0,19,19,4149000,218368.421052632,-55.8139534883721,0.9,90,100,0,0,0,4365624.90073275,0,0,0,4365624.90073275,229769.731617514,0.0707996258798717
"51","Acushnet",2014,12,24,24,4750550,0,0,0,0,0,0,0,0,0,24,24,4750550,197939.583333333,-44.1860465116279,0.263157894736842,26.3157894736842,100,0,0,0,4918790.61908624,0,0,0,4918790.61908624,204949.609128593,0.0888451244387024
"52","Acushnet",2015,12,13,13,2900000,2,4,360000,0,0,0,0,0,0,15,17,3260000,191764.705882353,-60.4651162790698,-0.291666666666667,-29.1666666666667,76.4705882352941,23.5294117647059,0,0,2999143.52135079,372307.47161596,0,0,3371450.99296675,198320.646645103,0.0552620526536838
"53","Acushnet",2016,12,20,20,5566000,0,0,0,0,0,0,0,0,0,20,20,5566000,278300,-53.4883720930233,0.176470588235294,17.6470588235294,100,0,0,0,5684575.53321361,0,0,0,5684575.53321361,284228.776660681,0.0734341094094796
"54","Acushnet",2017,12,17,17,4089000,0,0,0,0,0,0,0,0,0,17,17,4089000,240529.411764706,-60.4651162790698,-0.15,-15,100,0,0,0,4089000,0,0,0,4089000,240529.411764706,0.0617701134389966
"55","Adams",2000,12,6,6,720500,0,0,0,0,0,0,0,0,0,6,6,720500,120083.333333333,0,NA,NA,100,0,0,0,1025603.71660859,0,0,0,1025603.71660859,170933.952768099,0.681508405270332
"56","Adams",2001,0,6,6,720500,0,0,0,0,0,0,0,0,0,6,6,720500,120083.333333333,0,0,0,100,0,0,0,997227.329192547,0,0,0,997227.329192547,166204.554865424,0.686655985351339
"57","Adams",2002,0,7,7,840583,0,0,0,0,0,0,0,0,0,7,7,840583,120083.285714286,16.67,0.166666666666667,16.67,100,0,0,0,1145323.54063369,0,0,0,1145323.54063369,163617.648661955,0.804597701149425
