"Municipal","County","State","Region","C_year","Unemployment.Rate","Number.of.Unemployed","Number.of.Employed","Number.in.Labor.Force"
"Westfield","Hampden County","MA","Westfield",2009,8,1744,20146,21890
"Westfield","Hampden County","MA","Westfield",2010,8.3,1788,19699,21487
"Westfield","Hampden County","MA","Westfield",2011,7.7,1631,19501,21132
"Westfield","Hampden County","MA","Westfield",2012,7.2,1520,19513,21033
"Westford","Middlesex County","MA","Westford",1990,4.8,474,9386,9860
"Westford","Middlesex County","MA","Westford",1991,6.9,683,9210,9893
"Westford","Middlesex County","MA","Westford",1992,7.5,756,9374,10130
"Westford","Middlesex County","MA","Westford",1993,5.9,602,9601,10203
"Westford","Middlesex County","MA","Westford",1994,4.9,516,9941,10457
"Westford","Middlesex County","MA","Westford",1995,4.3,441,9920,10361
"Westford","Middlesex County","MA","Westford",1996,3.1,339,10433,10772
"Westford","Middlesex County","MA","Westford",1997,2.4,272,11034,11306
"Westford","Middlesex County","MA","Westford",1998,2.1,249,11511,11760
"Westford","Middlesex County","MA","Westford",1999,2.2,269,12103,12372
"Westford","Middlesex County","MA","Westford",2000,1.8,206,11323,11529
"Westford","Middlesex County","MA","Westford",2001,3.1,364,11452,11816
"Westford","Middlesex County","MA","Westford",2002,5.5,659,11307,11966
"Westford","Middlesex County","MA","Westford",2003,5.9,698,11189,11887
"Westford","Middlesex County","MA","Westford",2004,4.3,500,11207,11707
"Westford","Middlesex County","MA","Westford",2005,3.8,448,11280,11728
"Westford","Middlesex County","MA","Westford",2006,3.8,447,11292,11739
"Westford","Middlesex County","MA","Westford",2007,3.5,418,11436,11854
"Westford","Middlesex County","MA","Westford",2008,4,482,11550,12032
"Westford","Middlesex County","MA","Westford",2009,6.8,843,11508,12351
"Westford","Middlesex County","MA","Westford",2010,6.7,807,11239,12046
"Westford","Middlesex County","MA","Westford",2011,5.3,634,11360,11994
"Westford","Middlesex County","MA","Westford",2012,5.2,624,11485,12109
"Westhampton","Hampshire County","MA","Westhampton",1990,2.7,21,764,785
"Westhampton","Hampshire County","MA","Westhampton",1991,6,47,732,779
"Westhampton","Hampshire County","MA","Westhampton",1992,5.5,47,806,853
"Westhampton","Hampshire County","MA","Westhampton",1993,4.7,40,814,854
"Westhampton","Hampshire County","MA","Westhampton",1994,4,36,874,910
"Westhampton","Hampshire County","MA","Westhampton",1995,3.6,35,938,973
"Westhampton","Hampshire County","MA","Westhampton",1996,2.6,25,927,952
"Westhampton","Hampshire County","MA","Westhampton",1997,3.5,34,943,977
"Westhampton","Hampshire County","MA","Westhampton",1998,2.8,28,982,1010
"Westhampton","Hampshire County","MA","Westhampton",1999,2.4,26,1071,1097
"Westhampton","Hampshire County","MA","Westhampton",2000,1.9,17,875,892
"Westhampton","Hampshire County","MA","Westhampton",2001,2.4,22,887,909
"Westhampton","Hampshire County","MA","Westhampton",2002,3.1,28,890,918
"Westhampton","Hampshire County","MA","Westhampton",2003,3.6,33,894,927
"Westhampton","Hampshire County","MA","Westhampton",2004,3.3,31,909,940
"Westhampton","Hampshire County","MA","Westhampton",2005,2.9,27,917,944
"Westhampton","Hampshire County","MA","Westhampton",2006,2.7,26,934,960
"Westhampton","Hampshire County","MA","Westhampton",2007,3.1,30,936,966
"Westhampton","Hampshire County","MA","Westhampton",2008,4.4,42,922,964
"Westhampton","Hampshire County","MA","Westhampton",2009,6.8,65,886,951
"Westhampton","Hampshire County","MA","Westhampton",2010,6,57,899,956
"Westhampton","Hampshire County","MA","Westhampton",2011,6.2,59,889,948
"Westhampton","Hampshire County","MA","Westhampton",2012,5.5,52,889,941
"Westminster","Worcester County","MA","Westminster",1990,8.9,306,3128,3434
"Westminster","Worcester County","MA","Westminster",1991,9.5,322,3057,3379
"Westminster","Worcester County","MA","Westminster",1992,9.1,318,3178,3496
"Westminster","Worcester County","MA","Westminster",1993,7,245,3255,3500
"Westminster","Worcester County","MA","Westminster",1994,6.6,235,3316,3551
"Westminster","Worcester County","MA","Westminster",1995,5.4,188,3292,3480
"Westminster","Worcester County","MA","Westminster",1996,4.6,159,3299,3458
"Westminster","Worcester County","MA","Westminster",1997,3.9,138,3382,3520
"Westminster","Worcester County","MA","Westminster",1998,3.4,121,3406,3527
"Westminster","Worcester County","MA","Westminster",1999,3.9,138,3439,3577
"Westminster","Worcester County","MA","Westminster",2000,2.9,108,3649,3757
"Westminster","Worcester County","MA","Westminster",2001,3.8,142,3638,3780
"Westminster","Worcester County","MA","Westminster",2002,6,233,3636,3869
"Westminster","Worcester County","MA","Westminster",2003,6.4,250,3645,3895
"Westminster","Worcester County","MA","Westminster",2004,5.9,230,3641,3871
"Westminster","Worcester County","MA","Westminster",2005,5.8,222,3635,3857
"Westminster","Worcester County","MA","Westminster",2006,5.6,218,3693,3911
"Westminster","Worcester County","MA","Westminster",2007,5,196,3691,3887
"Westminster","Worcester County","MA","Westminster",2008,5.8,226,3643,3869
"Westminster","Worcester County","MA","Westminster",2009,9.1,346,3476,3822
"Westminster","Worcester County","MA","Westminster",2010,9.1,347,3459,3806
"Westminster","Worcester County","MA","Westminster",2011,8.1,305,3457,3762
"Westminster","Worcester County","MA","Westminster",2012,8.1,306,3455,3761
"Weston","Middlesex County","MA","Weston",1990,2.5,128,5076,5204
